Tag_ID,Actual_Size_In_Meters
0,0.209973
1,0.209973
2,0.209973
3,0.209973
4,0.209973
5,0.209973
6,0.209973
7,0.209973
8,0.209973
9,0.209973
10,0.419947
11,0.419947
12,0.419947
13,0.419947
14,0.839893
15,0.209973
16,0.209973
17,0.209973
18,0.209973
19,0.209973
20,0.209973
21,0.209973
22,0.209973
23,0.209973
24,0.209973
25,0.209973
26,0.209973
27,0.209973
28,0.209973
29,0.209973
30,0.209973
31,0.209973
32,0.209973
33,0.209973
34,0.209973
